iter	Passed	Remaining
821	7981	1728
822	7991	1718
823	8004	1709
824	8027	1702
825	8036	1692
826	8045	1682
827	8052	1672
828	8060	1662
829	8067	1652
830	8075	1642
831	8083	1632
832	8090	1622
833	8098	1611
834	8105	1601
835	8112	1591
836	8121	1581
837	8130	1571
838	8141	1562
839	8150	1552
840	8157	1542
841	8166	1532
842	8174	1522
843	8182	1512
844	8191	1502
845	8210	1494
846	8218	1484
847	8225	1474
848	8233	1464
849	8241	1454
850	8257	1445
851	8266	1435
852	8276	1426
853	8288	1416
854	8295	1406
855	8304	1397
856	8313	1387
857	8323	1377
858	8330	1367
859	8337	1357
860	8345	1347
861	8352	1337
862	8360	1327
863	8368	1317
864	8381	1308
865	8390	1298
866	8398	1288
867	8408	1278
868	8417	1268
869	8426	1259
870	8435	1249
871	8442	1239
872	8450	1229
873	8458	1219
874	8466	1209
875	8474	1199
876	8482	1189
877	8492	1180
878	8500	1170
879	8512	1160
880	8522	1151
881	8534	1141
882	8542	1131
883	8552	1122
884	8561	1112
885	8572	1103
886	8582	1093
887	8590	1083
888	8598	1073
889	8606	1063
890	8615	1054
891	8624	1044
892	8633	1034
893	8643	1024
894	8653	1015
895	8661	1005
896	8669	995
897	8678	985
898	8685	975
899	8693	965
900	8703	956
901	8712	946
902	8726	937
903	8738	928
904	8749	918
905	8757	908
906	8768	899
907	8777	889
908	8787	879
909	8795	869
910	8810	860
911	8818	850
912	8827	841
913	8836	831
914	8845	821
915	8852	811
916	8861	802
917	8869	792
918	8877	782
919	8886	772
920	8894	762
921	8905	753
922	8913	743
923	8922	733
924	8929	724
925	8938	714
926	8952	705
927	8964	695
928	8972	685
929	8981	676
930	8992	666
931	9001	656
932	9010	647
933	9021	637
934	9029	627
935	9039	618
936	9048	608
937	9057	598
938	9067	589
939	9076	579
940	9086	569
941	9093	559
942	9105	550
943	9115	540
944	9124	531
945	9133	521
946	9141	511
947	9151	501
948	9159	492
949	9167	482
950	9176	472
951	9184	463
952	9192	453
953	9201	443
954	9209	433
955	9217	424
956	9225	414
957	9235	404
958	9243	395
959	9251	385
960	9259	375
961	9267	366
962	9279	356
963	9288	346
964	9299	337
965	9307	327
966	9314	317
967	9324	308
968	9331	298
969	9340	288
970	9347	279
971	9356	269
972	9365	259
973	9386	250
974	9400	241
975	9408	231
976	9420	221
977	9430	212
978	9438	202
979	9450	192
980	9468	183
981	9479	173
982	9494	164
983	9503	154
984	9511	144
985	9524	135
986	9532	125
987	9541	115
988	9550	106
989	9558	96
990	9567	86
991	9575	77
992	9595	67
993	9604	57
994	9613	48
995	9622	38
996	9630	28
997	9638	19
998	9647	9
999	9656	0
